Pgof,Ped,Cgof_1,Cgof_2,Ced_1,Ced_2,Zgof_1,Zgof_2,Zed_1,Zed_2,n1,n2,n3,rho,X1_p,X2_q
0.03222,0.04461,0.07126,0.30209,0.06117,0.0984,0.05131,0.16193,0.05915,0.07504,10.0,20.0,20.0,0.1,0.3,0.8
0.03245,0.04672,0.07039,0.31046,0.06342,0.10284,0.05147,0.16167,0.06074,0.08101,10.0,20.0,20.0,0.11,0.3,0.8
0.02605,0.04707,0.0707,0.33795,0.06562,0.10579,0.04994,0.16215,0.06206,0.08373,10.0,20.0,20.0,0.12,0.3,0.8
0.02526,0.0497,0.07121,0.33997,0.06777,0.11262,0.04416,0.17521,0.06402,0.08956,10.0,20.0,20.0,0.13,0.3,0.8
0.02264,0.05046,0.09785,0.33909,0.0718,0.11639,0.0444,0.17481,0.06796,0.09351,10.0,20.0,20.0,0.14,0.3,0.8
0.02228,0.05149,0.09437,0.33813,0.07135,0.12078,0.04471,0.21053,0.06852,0.09874,10.0,20.0,20.0,0.15,0.3,0.8
0.04168,0.05333,0.0972,0.38589,0.07517,0.12825,0.04594,0.2139,0.07031,0.10515,10.0,20.0,20.0,0.16,0.3,0.8
0.07068,0.0569,0.0966,0.41323,0.07843,0.13477,0.05317,0.28797,0.07235,0.11152,10.0,20.0,20.0,0.17,0.3,0.8
0.07244,0.05974,0.09606,0.41225,0.08172,0.14317,0.05303,0.31609,0.07616,0.12008,10.0,20.0,20.0,0.18,0.3,0.8
0.07158,0.06099,0.0944,0.41773,0.08247,0.14958,0.06846,0.33894,0.07867,0.12763,10.0,20.0,20.0,0.19,0.3,0.8
0.07264,0.06372,0.09665,0.47359,0.08684,0.15902,0.06898,0.33884,0.08202,0.13547,10.0,20.0,20.0,0.2,0.3,0.8
0.07019,0.06815,0.09315,0.5232,0.08816,0.16774,0.0927,0.39223,0.08359,0.14405,10.0,20.0,20.0,0.21,0.3,0.8
0.07007,0.07125,0.0992,0.54055,0.09162,0.17733,0.08753,0.39384,0.08538,0.15385,10.0,20.0,20.0,0.22,0.3,0.8
0.0687,0.07461,0.09962,0.58604,0.0959,0.18685,0.11487,0.44854,0.08858,0.16191,10.0,20.0,20.0,0.23,0.3,0.8
0.06979,0.07937,0.09988,0.58831,0.09848,0.19781,0.11438,0.53003,0.09253,0.17132,10.0,20.0,20.0,0.24,0.3,0.8
0.06912,0.08323,0.09707,0.59832,0.10155,0.20923,0.13519,0.54087,0.09536,0.18288,10.0,20.0,20.0,0.25,0.3,0.8
0.07008,0.08853,0.09733,0.66322,0.10455,0.2195,0.13557,0.53873,0.09875,0.19212,10.0,20.0,20.0,0.26,0.3,0.8
0.06568,0.09304,0.09479,0.71984,0.10731,0.23236,0.14782,0.59434,0.10272,0.20407,10.0,20.0,20.0,0.27,0.3,0.8
0.06439,0.09738,0.09474,0.75352,0.11164,0.24447,0.14774,0.59858,0.10579,0.2147,10.0,20.0,20.0,0.28,0.3,0.8
0.08109,0.10284,0.09404,0.76931,0.11358,0.25831,0.15486,0.70567,0.10702,0.22696,10.0,20.0,20.0,0.29,0.3,0.8
0.13849,0.10797,0.09577,0.83828,0.11745,0.27334,0.15398,0.71423,0.11108,0.24081,10.0,20.0,20.0,0.3,0.3,0.8
0.13957,0.115,0.11682,0.91592,0.12123,0.28764,0.15374,0.72476,0.115,0.25362,10.0,20.0,20.0,0.31,0.3,0.8
0.13868,0.1233,0.11775,0.92814,0.12483,0.30159,0.15444,0.77381,0.11688,0.26848,10.0,20.0,20.0,0.32,0.3,0.8
0.20395,0.12803,0.16572,0.93346,0.12896,0.31826,0.15592,0.82992,0.12205,0.28298,10.0,20.0,20.0,0.33,0.3,0.8
0.20388,0.135,0.25811,0.97745,0.13085,0.33268,0.15502,0.82888,0.12411,0.29763,10.0,20.0,20.0,0.34,0.3,0.8
0.2055,0.143,0.26844,0.97779,0.13331,0.35197,0.15357,0.85534,0.12799,0.31512,10.0,20.0,20.0,0.35000000000000003,0.3,0.8
0.20325,0.1474,0.26729,0.97804,0.13565,0.3657,0.15204,0.85451,0.12998,0.33089,10.0,20.0,20.0,0.36,0.3,0.8
0.20557,0.15866,0.2687,0.97744,0.13928,0.38444,0.155,0.89789,0.132,0.34732,10.0,20.0,20.0,0.37,0.3,0.8
0.20555,0.16603,0.26842,0.97755,0.1426,0.40136,0.15458,0.92524,0.13522,0.36877,10.0,20.0,20.0,0.38,0.3,0.8
0.20463,0.17342,0.26999,0.97644,0.14702,0.42233,0.15524,0.92636,0.13843,0.3873,10.0,20.0,20.0,0.39,0.3,0.8
0.02914,0.03293,0.00655,0.00809,0.06018,0.07032,0.04721,0.04197,0.04833,0.0499,10.0,20.0,20.0,0.0,0.1,0.9
0.02863,0.03069,0.00506,0.01088,0.06328,0.07045,0.03156,0.04219,0.04949,0.04924,10.0,20.0,20.0,0.01,0.1,0.9
0.02995,0.02904,0.09794,0.00844,0.0674,0.07104,0.0206,0.03076,0.05165,0.05071,10.0,20.0,20.0,0.02,0.1,0.9
0.02433,0.02743,0.09623,0.00889,0.0706,0.07539,0.01528,0.02801,0.05432,0.05439,10.0,20.0,20.0,0.03,0.1,0.9
0.02431,0.02773,0.09796,0.02264,0.0734,0.07903,0.01327,0.0714,0.05354,0.05841,10.0,20.0,20.0,0.04,0.1,0.9
0.01921,0.02612,0.09552,0.11462,0.07808,0.08361,0.05563,0.06817,0.05872,0.06559,10.0,20.0,20.0,0.05,0.1,0.9
0.01937,0.02741,0.09534,0.11396,0.08337,0.0889,0.0554,0.08252,0.05916,0.06704,10.0,20.0,20.0,0.06,0.1,0.9
0.01544,0.0267,0.09675,0.16819,0.08927,0.09632,0.05594,0.08316,0.06305,0.07626,10.0,20.0,20.0,0.07,0.1,0.9
0.01182,0.02785,0.09673,0.16682,0.09649,0.10506,0.05478,0.15083,0.07062,0.08584,10.0,20.0,20.0,0.08,0.1,0.9
0.01266,0.02829,0.09637,0.27157,0.10417,0.11238,0.05587,0.15122,0.07555,0.096,10.0,20.0,20.0,0.09,0.1,0.9
0.01195,0.03003,0.09596,0.27489,0.11188,0.12393,0.15072,0.24646,0.0843,0.10586,10.0,20.0,20.0,0.1,0.1,0.9
0.01068,0.03094,0.09477,0.27256,0.11912,0.13097,0.14933,0.24239,0.09164,0.10942,10.0,20.0,20.0,0.11,0.1,0.9
0.01132,0.03364,0.09451,0.27411,0.12763,0.14322,0.14795,0.23905,0.10213,0.11748,10.0,20.0,20.0,0.12,0.1,0.9
0.00983,0.03718,0.19633,0.27484,0.13875,0.15797,0.14926,0.2592,0.11276,0.12892,10.0,20.0,20.0,0.13,0.1,0.9
0.00973,0.03915,0.19438,0.29001,0.14984,0.17119,0.15174,0.41758,0.12599,0.13699,10.0,20.0,20.0,0.14,0.1,0.9
0.0096,0.0418,0.19701,0.29194,0.15913,0.18451,0.14878,0.41782,0.13658,0.14791,10.0,20.0,20.0,0.15,0.1,0.9
0.00944,0.04651,0.19259,0.29241,0.17018,0.19595,0.23933,0.41632,0.14986,0.15961,10.0,20.0,20.0,0.16,0.1,0.9
0.00919,0.05008,0.19377,0.39114,0.18125,0.21008,0.23628,0.5139,0.16321,0.16396,10.0,20.0,20.0,0.17,0.1,0.9
0.00884,0.05512,0.19334,0.4457,0.19513,0.22819,0.23573,0.51332,0.17981,0.17817,10.0,20.0,20.0,0.18,0.1,0.9
0.00917,0.06076,0.192,0.44771,0.20863,0.24441,0.23562,0.56995,0.19572,0.19414,10.0,20.0,20.0,0.19,0.1,0.9
0.00871,0.06665,0.19481,0.55703,0.22202,0.26136,0.23738,0.69021,0.21588,0.20828,10.0,20.0,20.0,0.2,0.1,0.9
0.0089,0.0725,0.19367,0.55733,0.23658,0.27867,0.23673,0.69006,0.23357,0.22331,10.0,20.0,20.0,0.21,0.1,0.9
0.00895,0.08093,0.19489,0.55816,0.25382,0.29866,0.30367,0.69136,0.25303,0.24333,10.0,20.0,20.0,0.22,0.1,0.9
0.00855,0.08897,0.26205,0.56872,0.27165,0.31866,0.35245,0.7582,0.27586,0.26146,10.0,20.0,20.0,0.23,0.1,0.9
0.14543,0.09533,0.30137,0.61103,0.28334,0.33567,0.35004,0.75877,0.29205,0.28082,10.0,20.0,20.0,0.24,0.1,0.9
0.14747,0.10419,0.30328,0.61406,0.30331,0.35572,0.35077,0.79674,0.31466,0.30413,10.0,20.0,20.0,0.25,0.1,0.9
0.1688,0.11415,0.30395,0.65004,0.31728,0.37695,0.35143,0.87479,0.33418,0.31046,10.0,20.0,20.0,0.26,0.1,0.9
0.16705,0.12384,0.30062,0.65223,0.33607,0.39575,0.48622,0.87468,0.35907,0.33217,10.0,20.0,20.0,0.27,0.1,0.9
0.16668,0.1332,0.29863,0.71411,0.35031,0.41439,0.48313,0.8725,0.37692,0.35184,10.0,20.0,20.0,0.28,0.1,0.9
0.16479,0.14372,0.30056,0.78965,0.37085,0.43645,0.48377,0.87421,0.40706,0.37637,10.0,20.0,20.0,0.29,0.1,0.9
0.17089,0.15925,0.3779,0.79397,0.3917,0.46052,0.48582,0.90474,0.43229,0.40219,10.0,20.0,20.0,0.3,0.1,0.9
0.16723,0.17064,0.4089,0.79565,0.40971,0.48152,0.48324,0.92373,0.45892,0.42636,10.0,20.0,20.0,0.31,0.1,0.9
0.16866,0.18365,0.55262,0.79367,0.42551,0.50178,0.59473,0.95911,0.47955,0.4494,10.0,20.0,20.0,0.32,0.1,0.9
0.16792,0.19729,0.65894,0.79503,0.44601,0.52204,0.61006,0.95899,0.5036,0.47117,10.0,20.0,20.0,0.33,0.1,0.9
0.16717,0.21035,0.70164,0.81088,0.459,0.54362,0.60437,0.95837,0.52391,0.49197,10.0,20.0,20.0,0.34,0.1,0.9
0.31895,0.22285,0.70446,0.81228,0.48002,0.564,0.60917,0.95879,0.54957,0.514,10.0,20.0,20.0,0.35000000000000003,0.1,0.9
0.32281,0.24172,0.7048,0.84691,0.49941,0.5855,0.68164,0.97592,0.57755,0.537,10.0,20.0,20.0,0.36,0.1,0.9
0.3221,0.25679,0.70491,0.88094,0.51839,0.60822,0.68211,0.98944,0.60153,0.55785,10.0,20.0,20.0,0.37,0.1,0.9
0.47095,0.27054,0.71867,0.87792,0.53481,0.62738,0.68159,0.98918,0.62456,0.58226,10.0,20.0,20.0,0.38,0.1,0.9
0.54576,0.28587,0.71778,0.88083,0.551,0.64723,0.68481,0.98941,0.64793,0.6044,10.0,20.0,20.0,0.39,0.1,0.9
0.04992,0.05036,0.03995,0.06934,0.04885,0.05398,0.05028,0.05112,0.04918,0.04931,100.0,100.0,100.0,0.0,0.3,0.8
0.04782,0.0511,0.04718,0.0763,0.04988,0.05454,0.05207,0.05598,0.05017,0.05121,100.0,100.0,100.0,0.01,0.3,0.8
0.05045,0.05306,0.04623,0.09257,0.05243,0.0555,0.05165,0.06453,0.05313,0.05471,100.0,100.0,100.0,0.02,0.3,0.8
0.05225,0.05662,0.04682,0.10729,0.05586,0.06068,0.0516,0.08461,0.05615,0.06082,100.0,100.0,100.0,0.03,0.3,0.8
0.05934,0.06188,0.05442,0.1403,0.06028,0.06571,0.05515,0.1126,0.06078,0.0682,100.0,100.0,100.0,0.04,0.3,0.8
0.07637,0.07126,0.05602,0.19341,0.06697,0.07606,0.0598,0.15743,0.06745,0.07992,100.0,100.0,100.0,0.05,0.3,0.8
0.08499,0.0782,0.06368,0.2312,0.07562,0.08605,0.06483,0.20493,0.0759,0.09098,100.0,100.0,100.0,0.06,0.3,0.8
0.10644,0.08818,0.07321,0.29773,0.08393,0.09933,0.07204,0.27063,0.0835,0.10501,100.0,100.0,100.0,0.07,0.3,0.8
0.12989,0.10016,0.07403,0.38319,0.09665,0.1153,0.08135,0.34358,0.0957,0.12174,100.0,100.0,100.0,0.08,0.3,0.8
0.15067,0.11621,0.08755,0.47506,0.10996,0.13659,0.08768,0.41569,0.10712,0.14382,100.0,100.0,100.0,0.09,0.3,0.8
0.19414,0.13114,0.1021,0.53656,0.12445,0.15742,0.09843,0.49029,0.1208,0.16391,100.0,100.0,100.0,0.1,0.3,0.8
0.21846,0.14989,0.10618,0.63827,0.13997,0.18506,0.10961,0.58494,0.1355,0.1915,100.0,100.0,100.0,0.11,0.3,0.8
0.2614,0.16865,0.11526,0.7191,0.15662,0.21065,0.12279,0.66961,0.15141,0.21623,100.0,100.0,100.0,0.12,0.3,0.8
0.30476,0.18654,0.13159,0.80604,0.17739,0.24096,0.13333,0.74104,0.1708,0.24627,100.0,100.0,100.0,0.13,0.3,0.8
0.34809,0.21435,0.14241,0.87134,0.19775,0.27588,0.15198,0.81339,0.18979,0.27875,100.0,100.0,100.0,0.14,0.3,0.8
0.40993,0.23749,0.16023,0.9196,0.22043,0.31476,0.16065,0.86909,0.21282,0.31722,100.0,100.0,100.0,0.15,0.3,0.8
0.45411,0.26462,0.16438,0.95981,0.24145,0.34993,0.18339,0.91818,0.23217,0.35029,100.0,100.0,100.0,0.16,0.3,0.8
0.49951,0.29369,0.18226,0.98318,0.26508,0.38995,0.19776,0.94672,0.25501,0.38964,100.0,100.0,100.0,0.17,0.3,0.8
0.5519,0.32613,0.20173,0.99285,0.29082,0.43405,0.2198,0.96894,0.28068,0.43148,100.0,100.0,100.0,0.18,0.3,0.8
0.60366,0.35651,0.22215,0.99823,0.31526,0.47581,0.24119,0.98252,0.30311,0.47098,100.0,100.0,100.0,0.19,0.3,0.8
0.65814,0.39086,0.2343,0.99969,0.34241,0.5194,0.25738,0.99103,0.33064,0.51285,100.0,100.0,100.0,0.2,0.3,0.8
0.7026,0.42238,0.24928,1.0,0.3679,0.56102,0.27891,0.99625,0.35439,0.55358,100.0,100.0,100.0,0.21,0.3,0.8
